State,State Code,Year of Death,Year of Death Code,Mother's Bridged Race/Hispanic Origin,Mother's Bridged Race/Hispanic Origin Code,Deaths,Births,Death Rate
Florida,12,2009,2009,Mexican,2148-5,73,14558,5.01
Florida,12,2009,2009,Puerto Rican,2180-8,72,11736,6.13
Florida,12,2009,2009,Cuban,2182-4,64,11342,5.64
Florida,12,2009,2009,Central or South American,4,84,21387,3.93
Florida,12,2009,2009,Other and Unknown Hispanic,5,11,2965,3.71 (Unreliable)
Florida,12,2009,2009,Non-Hispanic White,6,536,100577,5.33
Florida,12,2009,2009,Non-Hispanic Black,7,638,50723,12.58
Florida,12,2009,2009,Non-Hispanic other races,8,33,7252,4.55
Florida,12,2009,2009,Origin unknown or not stated,9,15,854,17.56 (Unreliable)
Florida,12,2010,2010,Mexican,2148-5,76,13246,5.74
Florida,12,2010,2010,Puerto Rican,2180-8,78,11046,7.06
Florida,12,2010,2010,Cuban,2182-4,39,11362,3.43
Florida,12,2010,2010,Central or South American,4,74,21093,3.51
Florida,12,2010,2010,Other and Unknown Hispanic,5,15,2858,5.25 (Unreliable)
Florida,12,2010,2010,Non-Hispanic White,6,511,97984,5.22
Florida,12,2010,2010,Non-Hispanic Black,7,563,49489,11.38
Florida,12,2010,2010,Non-Hispanic other races,8,26,6906,3.76
Florida,12,2010,2010,Origin unknown or not stated,9,14,606,23.10 (Unreliable)
Florida,12,2011,2011,Mexican,2148-5,71,12626,5.62
Florida,12,2011,2011,Puerto Rican,2180-8,89,11590,7.68
Florida,12,2011,2011,Cuban,2182-4,48,11658,4.12
Florida,12,2011,2011,Central or South American,4,64,18681,3.43
Florida,12,2011,2011,Other and Unknown Hispanic,5,20,4184,4.78
Florida,12,2011,2011,Non-Hispanic White,6,476,97304,4.89
Florida,12,2011,2011,Non-Hispanic Black,7,557,49084,11.35
Florida,12,2011,2011,Non-Hispanic other races,8,32,7199,4.45
Florida,12,2011,2011,Origin unknown or not stated,9,22,1088,20.22
Florida,12,2012,2012,Mexican,2148-5,57,12462,4.57
Florida,12,2012,2012,Puerto Rican,2180-8,76,11856,6.41
Florida,12,2012,2012,Cuban,2182-4,43,11525,3.73
Florida,12,2012,2012,Central or South American,4,68,18043,3.77
Florida,12,2012,2012,Other and Unknown Hispanic,5,37,3996,9.26
Florida,12,2012,2012,Non-Hispanic White,6,468,97042,4.82
Florida,12,2012,2012,Non-Hispanic Black,7,516,49374,10.45
Florida,12,2012,2012,Non-Hispanic other races,8,24,7358,3.26
Florida,12,2012,2012,Origin unknown or not stated,9,16,1492,10.72 (Unreliable)
Florida,12,2013,2013,Mexican,2148-5,64,12145,5.27
Florida,12,2013,2013,Puerto Rican,2180-8,69,12165,5.67
Florida,12,2013,2013,Cuban,2182-4,23,12633,1.82
Florida,12,2013,2013,Central or South American,4,53,18478,2.87
Florida,12,2013,2013,Other and Unknown Hispanic,5,17,3785,4.49 (Unreliable)
Florida,12,2013,2013,Non-Hispanic White,6,534,98586,5.42
Florida,12,2013,2013,Non-Hispanic Black,7,520,49113,10.59
Florida,12,2013,2013,Non-Hispanic other races,8,22,7115,3.09
Florida,12,2013,2013,Origin unknown or not stated,9,20,1387,14.42
Florida,12,2014,2014,Mexican,2148-5,68,12126,5.61
Florida,12,2014,2014,Puerto Rican,2180-8,78,12673,6.15
Florida,12,2014,2014,Cuban,2182-4,45,13376,3.36
Florida,12,2014,2014,Central or South American,4,66,19766,3.34
Florida,12,2014,2014,Other and Unknown Hispanic,5,20,3908,5.12
Florida,12,2014,2014,Non-Hispanic White,6,506,100837,5.02
Florida,12,2014,2014,Non-Hispanic Black,7,517,49313,10.48
Florida,12,2014,2014,Non-Hispanic other races,8,28,7311,3.83
Florida,12,2014,2014,Origin unknown or not stated,9,15,681,22.03 (Unreliable)
Florida,12,2015,2015,Mexican,2148-5,68,12102,5.62
Florida,12,2015,2015,Puerto Rican,2180-8,79,13126,6.02
Florida,12,2015,2015,Cuban,2182-4,46,13768,3.34
Florida,12,2015,2015,Central or South American,4,67,21124,3.17
Florida,12,2015,2015,Other and Unknown Hispanic,5,19,3958,4.80 (Unreliable)
Florida,12,2015,2015,Non-Hispanic White,6,510,102549,4.97
Florida,12,2015,2015,Non-Hispanic Black,7,544,49609,10.97
Florida,12,2015,2015,Non-Hispanic other races,8,48,7459,6.44
Florida,12,2015,2015,Origin unknown or not stated,9,18,574,31.36 (Unreliable)
Florida,12,2016,2016,Mexican,2148-5,56,11745,4.77
Florida,12,2016,2016,Puerto Rican,2180-8,83,13223,6.28
Florida,12,2016,2016,Cuban,2182-4,47,14589,3.22
Florida,12,2016,2016,Central or South American,4,86,21699,3.96
Florida,12,2016,2016,Other and Unknown Hispanic,5,27,4639,5.82
Florida,12,2016,2016,Non-Hispanic White,6,473,100621,4.7
Florida,12,2016,2016,Non-Hispanic Black,7,548,49788,11.01
Florida,12,2016,2016,Non-Hispanic other races,8,33,7905,4.17
Florida,12,2016,2016,Origin unknown or not stated,9,29,813,35.67
Florida,12,2017,2017,Mexican,2148-5,66,11254,5.86
Florida,12,2017,2017,Puerto Rican,2180-8,81,13575,5.97
Florida,12,2017,2017,Cuban,2182-4,49,15015,3.26
Florida,12,2017,2017,Central or South American,4,87,22157,3.93
Florida,12,2017,2017,Other and Unknown Hispanic,5,17,5048,3.37 (Unreliable)
Florida,12,2017,2017,Non-Hispanic White,6,473,97704,4.84
Florida,12,2017,2017,Non-Hispanic Black,7,532,50385,10.56
Florida,12,2017,2017,Non-Hispanic other races,8,38,7875,4.83
Florida,12,2017,2017,Origin unknown or not stated,9,20,617,32.41
Georgia,13,2007,2007,Mexican,2148-5,78,18276,4.27
Georgia,13,2007,2007,Central or South American,4,20,4663,4.29
Georgia,13,2007,2007,Non-Hispanic White,6,408,68659,5.94
Georgia,13,2007,2007,Non-Hispanic Black,7,642,49620,12.94
Georgia,13,2007,2007,Non-Hispanic other races,8,28,5648,4.96
Georgia,13,2007,2007,Origin unknown or not stated,9,29,2447,11.85
Georgia,13,2008,2008,Mexican,2148-5,93,17831,5.22
Georgia,13,2008,2008,Central or South American,4,27,4277,6.31
Georgia,13,2008,2008,Other and Unknown Hispanic,5,14,2522,5.55 (Unreliable)
Georgia,13,2008,2008,Non-Hispanic White,6,375,63757,5.88
Georgia,13,2008,2008,Non-Hispanic Black,7,600,48298,12.42
Georgia,13,2008,2008,Non-Hispanic other races,8,20,5480,3.65
Georgia,13,2008,2008,Origin unknown or not stated,9,31,3226,9.61
Georgia,13,2009,2009,Mexican,2148-5,81,16299,4.97
Georgia,13,2009,2009,Central or South American,4,18,4420,4.07 (Unreliable)
Georgia,13,2009,2009,Other and Unknown Hispanic,5,19,2598,7.31 (Unreliable)
Georgia,13,2009,2009,Non-Hispanic White,6,326,61727,5.28
Georgia,13,2009,2009,Non-Hispanic Black,7,533,46235,11.53
Georgia,13,2009,2009,Non-Hispanic other races,8,20,5413,3.69
Georgia,13,2009,2009,Origin unknown or not stated,9,32,3408,9.39
Georgia,13,2010,2010,Mexican,2148-5,60,13160,4.56
Georgia,13,2010,2010,Central or South American,4,22,4231,5.2
Georgia,13,2010,2010,Non-Hispanic White,6,307,59700,5.14
Georgia,13,2010,2010,Non-Hispanic Black,7,413,44824,9.21
Georgia,13,2010,2010,Non-Hispanic other races,8,14,5306,2.64 (Unreliable)
Georgia,13,2010,2010,Origin unknown or not stated,9,20,2900,6.9
Georgia,13,2011,2011,Mexican,2148-5,51,11285,4.52
Georgia,13,2011,2011,Central or South American,4,15,3955,3.79 (Unreliable)
Georgia,13,2011,2011,Non-Hispanic White,6,303,60622,5
Georgia,13,2011,2011,Non-Hispanic Black,7,490,44649,10.97
Georgia,13,2011,2011,Non-Hispanic other races,8,28,5746,4.87
Georgia,13,2012,2012,Mexican,2148-5,45,10489,4.29
Georgia,13,2012,2012,Puerto Rican,2180-8,10,1063,9.41 (Unreliable)
Georgia,13,2012,2012,Central or South American,4,13,3670,3.54 (Unreliable)
Georgia,13,2012,2012,Non-Hispanic White,6,301,60311,4.99
Georgia,13,2012,2012,Non-Hispanic Black,7,398,44293,8.99
Georgia,13,2012,2012,Non-Hispanic other races,8,16,5914,2.71 (Unreliable)
Georgia,13,2012,2012,Origin unknown or not stated,9,14,2290,6.11 (Unreliable)
Georgia,13,2013,2013,Mexican,2148-5,48,10066,4.77
Georgia,13,2013,2013,Central or South American,4,24,3746,6.41
Georgia,13,2013,2013,Other and Unknown Hispanic,5,12,1787,6.72 (Unreliable)
Georgia,13,2013,2013,Non-Hispanic White,6,308,59379,5.19
Georgia,13,2013,2013,Non-Hispanic Black,7,449,44381,10.12
Georgia,13,2013,2013,Non-Hispanic other races,8,22,5666,3.88
Georgia,13,2013,2013,Origin unknown or not stated,9,28,2328,12.03
Georgia,13,2014,2014,Mexican,2148-5,58,10400,5.58
Georgia,13,2014,2014,Central or South American,4,19,3759,5.05 (Unreliable)
Georgia,13,2014,2014,Non-Hispanic White,6,298,60104,4.96
Georgia,13,2014,2014,Non-Hispanic Black,7,541,45022,12.02
Georgia,13,2014,2014,Non-Hispanic other races,8,30,6115,4.91
Georgia,13,2014,2014,Origin unknown or not stated,9,20,2463,8.12
Georgia,13,2015,2015,Mexican,2148-5,64,11148,5.74
Georgia,13,2015,2015,Central or South American,4,23,3939,5.84
Georgia,13,2015,2015,Non-Hispanic White,6,311,60328,5.16
Georgia,13,2015,2015,Non-Hispanic Black,7,570,45461,12.54
Georgia,13,2015,2015,Non-Hispanic other races,8,20,6077,3.29
Georgia,13,2015,2015,Origin unknown or not stated,9,20,1702,11.75
Georgia,13,2016,2016,Mexican,2148-5,75,10875,6.9
Georgia,13,2016,2016,Central or South American,4,15,4403,3.41 (Unreliable)
Georgia,13,2016,2016,Non-Hispanic White,6,318,58885,5.4
Georgia,13,2016,2016,Non-Hispanic Black,7,515,45457,11.33
Georgia,13,2016,2016,Non-Hispanic other races,8,19,6391,2.97 (Unreliable)
Georgia,13,2016,2016,Origin unknown or not stated,9,13,1352,9.62 (Unreliable)
Georgia,13,2017,2017,Mexican,2148-5,60,10502,5.71
Georgia,13,2017,2017,Puerto Rican,2180-8,12,1256,9.55 (Unreliable)
Georgia,13,2017,2017,Central or South American,4,25,4720,5.3
Georgia,13,2017,2017,Other and Unknown Hispanic,5,10,1165,8.58 (Unreliable)
Georgia,13,2017,2017,Non-Hispanic White,6,280,57948,4.83
Georgia,13,2017,2017,Non-Hispanic Black,7,497,45579,10.9
Georgia,13,2017,2017,Non-Hispanic other races,8,30,6542,4.59
Georgia,13,2017,2017,Origin unknown or not stated,9,13,1220,10.66 (Unreliable)
Hawaii,15,2007,2007,Non-Hispanic White,6,25,4494,5.56
Hawaii,15,2007,2007,Non-Hispanic other races,8,76,11157,6.81
Hawaii,15,2008,2008,Other and Unknown Hispanic,5,13,1438,9.04 (Unreliable)
Hawaii,15,2008,2008,Non-Hispanic White,6,23,4812,4.78
Hawaii,15,2008,2008,Non-Hispanic other races,8,65,11104,5.85
Hawaii,15,2009,2009,Other and Unknown Hispanic,5,10,1413,7.08 (Unreliable)
Hawaii,15,2009,2009,Non-Hispanic White,6,20,4603,4.34
Hawaii,15,2009,2009,Non-Hispanic other races,8,68,10711,6.35
Hawaii,15,2010,2010,Other and Unknown Hispanic,5,11,1255,8.76 (Unreliable)
Hawaii,15,2010,2010,Non-Hispanic White,6,17,4758,3.57 (Unreliable)
Hawaii,15,2010,2010,Non-Hispanic other races,8,70,10734,6.52
Hawaii,15,2011,2011,Puerto Rican,2180-8,10,898,11.14 (Unreliable)
Hawaii,15,2011,2011,Non-Hispanic White,6,20,4860,4.12
Hawaii,15,2011,2011,Non-Hispanic other races,8,54,10522,5.13
Hawaii,15,2012,2012,Non-Hispanic White,6,17,4725,3.60 (Unreliable)
Hawaii,15,2012,2012,Non-Hispanic other races,8,56,10785,5.19
Hawaii,15,2013,2013,Other and Unknown Hispanic,5,10,1169,8.55 (Unreliable)
Hawaii,15,2013,2013,Non-Hispanic White,6,26,4940,5.26
Hawaii,15,2013,2013,Non-Hispanic Black,7,10,542,18.45 (Unreliable)
Hawaii,15,2013,2013,Non-Hispanic other races,8,67,10480,6.39
Hawaii,15,2014,2014,Non-Hispanic White,6,19,4881,3.89 (Unreliable)
Hawaii,15,2014,2014,Non-Hispanic other races,8,52,10343,5.03
Hawaii,15,2015,2015,Non-Hispanic White,6,17,4803,3.54 (Unreliable)
Hawaii,15,2015,2015,Non-Hispanic other races,8,67,10246,6.54
Hawaii,15,2016,2016,Non-Hispanic White,6,20,4582,4.36
Hawaii,15,2016,2016,Non-Hispanic other races,8,67,10017,6.69
Hawaii,15,2017,2017,Non-Hispanic White,6,21,4330,4.85
Hawaii,15,2017,2017,Non-Hispanic Black,7,12,571,21.02 (Unreliable)
Hawaii,15,2017,2017,Non-Hispanic other races,8,46,9892,4.65
Idaho,16,2007,2007,Mexican,2148-5,22,3210,6.85
Idaho,16,2007,2007,Non-Hispanic White,6,132,20187,6.54
Idaho,16,2008,2008,Mexican,2148-5,29,3326,8.72
Idaho,16,2008,2008,Non-Hispanic White,6,106,19868,5.34
Idaho,16,2009,2009,Mexican,2148-5,23,3038,7.57
Idaho,16,2009,2009,Non-Hispanic White,6,94,19053,4.93
Idaho,16,2010,2010,Mexican,2148-5,14,3001,4.67 (Unreliable)
Idaho,16,2010,2010,Non-Hispanic White,6,86,18616,4.62
Idaho,16,2011,2011,Mexican,2148-5,18,2858,6.30 (Unreliable)
Idaho,16,2011,2011,Non-Hispanic White,6,85,17869,4.76
Idaho,16,2012,2012,Mexican,2148-5,22,2772,7.94
Idaho,16,2012,2012,Non-Hispanic White,6,93,18409,5.05
Idaho,16,2013,2013,Mexican,2148-5,15,2739,5.48 (Unreliable)
Idaho,16,2013,2013,Non-Hispanic White,6,95,17951,5.29
Idaho,16,2014,2014,Mexican,2148-5,15,2955,5.08 (Unreliable)
Idaho,16,2014,2014,Non-Hispanic White,6,97,18188,5.33
Idaho,16,2015,2015,Mexican,2148-5,11,2940,3.74 (Unreliable)
Idaho,16,2015,2015,Non-Hispanic White,6,90,18087,4.98
Idaho,16,2016,2016,Mexican,2148-5,23,2898,7.94
Idaho,16,2016,2016,Non-Hispanic White,6,93,17748,5.24
Idaho,16,2017,2017,Mexican,2148-5,15,2853,5.26 (Unreliable)
Idaho,16,2017,2017,Non-Hispanic White,6,67,17426,3.84
Illinois,17,2007,2007,Mexican,2148-5,192,37052,5.18
Illinois,17,2007,2007,Puerto Rican,2180-8,25,2682,9.32
Illinois,17,2007,2007,Other and Unknown Hispanic,5,20,2443,8.19
Illinois,17,2007,2007,Non-Hispanic White,6,511,95135,5.37
Illinois,17,2007,2007,Non-Hispanic Black,7,417,31558,13.21
Illinois,17,2007,2007,Non-Hispanic other races,8,54,9871,5.47
Illinois,17,2008,2008,Mexican,2148-5,209,35875,5.83
Illinois,17,2008,2008,Puerto Rican,2180-8,15,2633,5.70 (Unreliable)
Illinois,17,2008,2008,Central or South American,4,10,1548,6.46 (Unreliable)
Illinois,17,2008,2008,Other and Unknown Hispanic,5,13,2556,5.09 (Unreliable)
Illinois,17,2008,2008,Non-Hispanic White,6,541,92988,5.82
Illinois,17,2008,2008,Non-Hispanic Black,7,431,30847,13.97
Illinois,17,2008,2008,Non-Hispanic other races,8,50,10081,4.96
Illinois,17,2009,2009,Mexican,2148-5,204,33481,6.09
Illinois,17,2009,2009,Puerto Rican,2180-8,15,2574,5.83 (Unreliable)
Illinois,17,2009,2009,Central or South American,4,10,1617,6.18 (Unreliable)
Illinois,17,2009,2009,Other and Unknown Hispanic,5,12,2535,4.73 (Unreliable)
Illinois,17,2009,2009,Non-Hispanic White,6,485,90930,5.33
Illinois,17,2009,2009,Non-Hispanic Black,7,411,29925,13.73
Illinois,17,2009,2009,Non-Hispanic other races,8,45,9828,4.58
Illinois,17,2010,2010,Mexican,2148-5,186,31252,5.95
Illinois,17,2010,2010,Puerto Rican,2180-8,18,2533,7.11 (Unreliable)
Illinois,17,2010,2010,Central or South American,4,11,2456,4.48 (Unreliable)
Illinois,17,2010,2010,Non-Hispanic White,6,464,89165,5.2
Illinois,17,2010,2010,Non-Hispanic Black,7,367,28267,12.98
Illinois,17,2010,2010,Non-Hispanic other races,8,64,9726,6.58
Illinois,17,2010,2010,Origin unknown or not stated,9,13,686,18.95 (Unreliable)
Illinois,17,2011,2011,Mexican,2148-5,168,29843,5.63
Illinois,17,2011,2011,Puerto Rican,2180-8,20,2452,8.16
Illinois,17,2011,2011,Non-Hispanic White,6,445,87952,5.06
Illinois,17,2011,2011,Non-Hispanic Black,7,350,27183,12.88
Illinois,17,2011,2011,Non-Hispanic other races,8,46,9781,4.7
Illinois,17,2011,2011,Origin unknown or not stated,9,12,631,19.02 (Unreliable)
Illinois,17,2012,2012,Mexican,2148-5,142,28799,4.93
Illinois,17,2012,2012,Puerto Rican,2180-8,18,2442,7.37 (Unreliable)
Illinois,17,2012,2012,Central or South American,4,15,2361,6.35 (Unreliable)
Illinois,17,2012,2012,Non-Hispanic White,6,419,86194,4.86
Illinois,17,2012,2012,Non-Hispanic Black,7,372,27274,13.64
Illinois,17,2012,2012,Non-Hispanic other races,8,50,10092,4.95
Illinois,17,2012,2012,Origin unknown or not stated,9,12,813,14.76 (Unreliable)
Illinois,17,2013,2013,Mexican,2148-5,130,27673,4.7
Illinois,17,2013,2013,Puerto Rican,2180-8,16,2384,6.71 (Unreliable)
Illinois,17,2013,2013,Non-Hispanic White,6,385,85866,4.48
Illinois,17,2013,2013,Non-Hispanic Black,7,329,26807,12.27
Illinois,17,2013,2013,Non-Hispanic other races,8,44,9865,4.46
Illinois,17,2013,2013,Origin unknown or not stated,9,18,939,19.17 (Unreliable)
Illinois,17,2014,2014,Mexican,2148-5,156,27681,5.64
Illinois,17,2014,2014,Puerto Rican,2180-8,14,2471,5.67 (Unreliable)
Illinois,17,2014,2014,Central or South American,4,13,2432,5.35 (Unreliable)
Illinois,17,2014,2014,Non-Hispanic White,6,472,86227,5.47
Illinois,17,2014,2014,Non-Hispanic Black,7,320,27187,11.77
Illinois,17,2014,2014,Non-Hispanic other races,8,46,10138,4.54
Illinois,17,2014,2014,Origin unknown or not stated,9,15,1201,12.49 (Unreliable)
Illinois,17,2015,2015,Mexican,2148-5,142,27696,5.13
Illinois,17,2015,2015,Puerto Rican,2180-8,12,2526,4.75 (Unreliable)
Illinois,17,2015,2015,Other and Unknown Hispanic,5,12,965,12.44 (Unreliable)
Illinois,17,2015,2015,Non-Hispanic White,6,383,85424,4.48
Illinois,17,2015,2015,Non-Hispanic Black,7,334,27160,12.3
Illinois,17,2015,2015,Non-Hispanic other races,8,38,10177,3.73
Illinois,17,2015,2015,Origin unknown or not stated,9,18,1453,12.39 (Unreliable)
Illinois,17,2016,2016,Mexican,2148-5,154,26748,5.76
Illinois,17,2016,2016,Puerto Rican,2180-8,20,2384,8.39
Illinois,17,2016,2016,Central or South American,4,16,2428,6.59 (Unreliable)
Illinois,17,2016,2016,Non-Hispanic White,6,390,83153,4.69
Illinois,17,2016,2016,Non-Hispanic Black,7,338,26359,12.82
Illinois,17,2016,2016,Non-Hispanic other races,8,33,10491,3.15
Illinois,17,2016,2016,Origin unknown or not stated,9,33,1807,18.26
Illinois,17,2017,2017,Mexican,2148-5,124,25514,4.86
Illinois,17,2017,2017,Puerto Rican,2180-8,18,2278,7.90 (Unreliable)
Illinois,17,2017,2017,Central or South American,4,10,2562,3.90 (Unreliable)
Illinois,17,2017,2017,Non-Hispanic White,6,358,79784,4.49
Illinois,17,2017,2017,Non-Hispanic Black,7,331,26506,12.49
Illinois,17,2017,2017,Non-Hispanic other races,8,40,10089,3.96
Illinois,17,2017,2017,Origin unknown or not stated,9,29,1583,18.32
Indiana,18,2007,2007,Mexican,2148-5,50,7243,6.9
Indiana,18,2007,2007,Non-Hispanic White,6,456,68916,6.62
Indiana,18,2007,2007,Non-Hispanic Black,7,156,10224,15.26
Indiana,18,2008,2008,Mexican,2148-5,46,6878,6.69
Indiana,18,2008,2008,Non-Hispanic White,6,404,67850,5.95
Indiana,18,2008,2008,Non-Hispanic Black,7,138,10449,13.21
Indiana,18,2009,2009,Mexican,2148-5,43,6445,6.67
Indiana,18,2009,2009,Non-Hispanic White,6,452,66325,6.81
Indiana,18,2009,2009,Non-Hispanic Black,7,151,10077,14.98
Indiana,18,2009,2009,Non-Hispanic other races,8,17,2005,8.48 (Unreliable)
Indiana,18,2010,2010,Mexican,2148-5,43,6042,7.12
Indiana,18,2010,2010,Non-Hispanic White,6,434,64304,6.75
Indiana,18,2010,2010,Non-Hispanic Black,7,141,9952,14.17
Indiana,18,2010,2010,Non-Hispanic other races,8,12,1954,6.14 (Unreliable)
Indiana,18,2011,2011,Mexican,2148-5,33,5699,5.79
Indiana,18,2011,2011,Puerto Rican,2180-8,10,299,33.44 (Unreliable)
Indiana,18,2011,2011,Non-Hispanic White,6,458,64482,7.1
Indiana,18,2011,2011,Non-Hispanic Black,7,116,9825,11.81
Indiana,18,2011,2011,Non-Hispanic other races,8,11,2038,5.40 (Unreliable)
Indiana,18,2012,2012,Mexican,2148-5,41,5327,7.7
Indiana,18,2012,2012,Non-Hispanic White,6,380,63801,5.96
Indiana,18,2012,2012,Non-Hispanic Black,7,123,10043,12.25
Indiana,18,2013,2013,Mexican,2148-5,29,5187,5.59
Indiana,18,2013,2013,Non-Hispanic White,6,403,63820,6.31
Indiana,18,2013,2013,Non-Hispanic Black,7,146,10010,14.59
Indiana,18,2013,2013,Non-Hispanic other races,8,17,2367,7.18 (Unreliable)
Indiana,18,2014,2014,Mexican,2148-5,37,5360,6.9
Indiana,18,2014,2014,Non-Hispanic White,6,397,64076,6.2
Indiana,18,2014,2014,Non-Hispanic Black,7,137,10344,13.24
Indiana,18,2014,2014,Non-Hispanic other races,8,17,2359,7.21 (Unreliable)
Indiana,18,2015,2015,Mexican,2148-5,45,5540,8.12
Indiana,18,2015,2015,Non-Hispanic White,6,419,63472,6.6
Indiana,18,2015,2015,Non-Hispanic Black,7,124,10343,11.99
Indiana,18,2015,2015,Non-Hispanic other races,8,11,2555,4.31 (Unreliable)
Indiana,18,2016,2016,Mexican,2148-5,42,5398,7.78
Indiana,18,2016,2016,Non-Hispanic White,6,405,62528,6.48
Indiana,18,2016,2016,Non-Hispanic Black,7,141,10387,13.57
Indiana,18,2016,2016,Non-Hispanic other races,8,10,2698,3.71 (Unreliable)
Indiana,18,2017,2017,Mexican,2148-5,32,5521,5.8
Indiana,18,2017,2017,Non-Hispanic White,6,390,61050,6.39
Indiana,18,2017,2017,Non-Hispanic Black,7,135,10629,12.7
Indiana,18,2017,2017,Non-Hispanic other races,8,21,2796,7.51
Iowa,19,2007,2007,Mexican,2148-5,18,2669,6.74 (Unreliable)
Iowa,19,2007,2007,Non-Hispanic White,6,175,34516,5.07
Iowa,19,2007,2007,Non-Hispanic Black,7,22,1802,12.21
Iowa,19,2008,2008,Mexican,2148-5,23,2616,8.79
Iowa,19,2008,2008,Non-Hispanic White,6,181,33956,5.33
Iowa,19,2008,2008,Non-Hispanic Black,7,23,1782,12.91
Iowa,19,2009,2009,Mexican,2148-5,13,2461,5.28 (Unreliable)
Iowa,19,2009,2009,Non-Hispanic White,6,141,33382,4.22
Iowa,19,2009,2009,Non-Hispanic Black,7,22,1907,11.54
Iowa,19,2010,2010,Mexican,2148-5,12,2359,5.09 (Unreliable)
Iowa,19,2010,2010,Non-Hispanic White,6,142,32511,4.37
Iowa,19,2010,2010,Non-Hispanic Black,7,22,1841,11.95
Iowa,19,2011,2011,Non-Hispanic White,6,152,31927,4.76
Iowa,19,2011,2011,Non-Hispanic Black,7,19,1844,10.30 (Unreliable)
Iowa,19,2012,2012,Non-Hispanic White,6,163,32075,5.08
Iowa,19,2012,2012,Non-Hispanic Black,7,24,2007,11.96
Iowa,19,2013,2013,Non-Hispanic White,6,127,32302,3.93
Iowa,19,2013,2013,Non-Hispanic Black,7,21,2116,9.92
Iowa,19,2014,2014,Mexican,2148-5,11,2457,4.48 (Unreliable)
Iowa,19,2014,2014,Non-Hispanic White,6,145,32423,4.47
Iowa,19,2014,2014,Non-Hispanic Black,7,17,2359,7.21 (Unreliable)
Iowa,19,2014,2014,Non-Hispanic other races,8,10,1579,6.33 (Unreliable)
Iowa,19,2015,2015,Mexican,2148-5,10,2608,3.83 (Unreliable)
Iowa,19,2015,2015,Non-Hispanic White,6,130,32028,4.06
Iowa,19,2015,2015,Non-Hispanic Black,7,21,2503,8.39
Iowa,19,2016,2016,Mexican,2148-5,16,2592,6.17 (Unreliable)
Iowa,19,2016,2016,Central or South American,4,10,619,16.16 (Unreliable)
Iowa,19,2016,2016,Non-Hispanic White,6,161,31645,5.09
Iowa,19,2016,2016,Non-Hispanic Black,7,35,2702,12.95
Iowa,19,2016,2016,Non-Hispanic other races,8,13,1580,8.23 (Unreliable)
Iowa,19,2017,2017,Mexican,2148-5,18,2597,6.93 (Unreliable)
Iowa,19,2017,2017,Non-Hispanic White,6,141,30281,4.66
Iowa,19,2017,2017,Non-Hispanic Black,7,29,2918,9.94
Iowa,19,2017,2017,Non-Hispanic other races,8,10,1700,5.88 (Unreliable)
Kansas,20,2007,2007,Mexican,2148-5,41,5001,8.2
Kansas,20,2007,2007,Non-Hispanic White,6,224,30512,7.34
Kansas,20,2007,2007,Non-Hispanic Black,7,55,3054,18.01
Kansas,20,2008,2008,Mexican,2148-5,40,5021,7.97
Kansas,20,2008,2008,Non-Hispanic White,6,208,30196,6.89
Kansas,20,2008,2008,Non-Hispanic Black,7,38,3156,12.04
Kansas,20,2008,2008,Non-Hispanic other races,8,11,1620,6.79 (Unreliable)
Kansas,20,2009,2009,Mexican,2148-5,26,4975,5.23
Kansas,20,2009,2009,Non-Hispanic White,6,192,29856,6.43
Kansas,20,2009,2009,Non-Hispanic Black,7,49,3063,16
Kansas,20,2009,2009,Non-Hispanic other races,8,12,1589,7.55 (Unreliable)
Kansas,20,2010,2010,Mexican,2148-5,31,4741,6.54
Kansas,20,2010,2010,Non-Hispanic White,6,168,29551,5.69
Kansas,20,2010,2010,Non-Hispanic Black,7,34,3045,11.17
Kansas,20,2011,2011,Mexican,2148-5,26,4564,5.7
Kansas,20,2011,2011,Other and Unknown Hispanic,5,12,1030,11.65 (Unreliable)
Kansas,20,2011,2011,Non-Hispanic White,6,151,28814,5.24
Kansas,20,2011,2011,Non-Hispanic Black,7,43,2934,14.66
Kansas,20,2011,2011,Non-Hispanic other races,8,10,1558,6.42 (Unreliable)
Kansas,20,2012,2012,Mexican,2148-5,42,4706,8.92
Kansas,20,2012,2012,Non-Hispanic White,6,160,29438,5.44
Kansas,20,2012,2012,Non-Hispanic Black,7,38,2961,12.83
Kansas,20,2013,2013,Mexican,2148-5,25,4736,5.28
Kansas,20,2013,2013,Non-Hispanic White,6,168,28281,5.94
Kansas,20,2013,2013,Non-Hispanic Black,7,42,2794,15.03
Kansas,20,2014,2014,Mexican,2148-5,23,4680,4.91
Kansas,20,2014,2014,Non-Hispanic White,6,167,28504,5.86
Kansas,20,2014,2014,Non-Hispanic Black,7,32,2938,10.89
Kansas,20,2014,2014,Non-Hispanic other races,8,10,1606,6.23 (Unreliable)
Kansas,20,2015,2015,Mexican,2148-5,27,4619,5.85
Kansas,20,2015,2015,Non-Hispanic White,6,154,28236,5.45
Kansas,20,2015,2015,Non-Hispanic Black,7,25,2912,8.59
Kansas,20,2015,2015,Non-Hispanic other races,8,13,1664,7.81 (Unreliable)
Kansas,20,2016,2016,Mexican,2148-5,21,4430,4.74
Kansas,20,2016,2016,Non-Hispanic White,6,150,27249,5.5
Kansas,20,2016,2016,Non-Hispanic Black,7,39,2805,13.9
Kansas,20,2017,2017,Mexican,2148-5,26,4303,6.04
