"Notes"	"State"	"State Code"	"Mother's Education"	"Mother's Education Code"	Deaths	Births	Death Rate
"Total"	"Vermont"	"50"			27	5655	4.77
	"Virginia"	"51"	"8th grade or less"	"1"	14	2840	4.93 (Unreliable)
	"Virginia"	"51"	"9th through 12th grade with no diploma"	"2"	43	6426	6.69
	"Virginia"	"51"	"High school graduate or GED completed"	"3"	198	26355	7.51
	"Virginia"	"51"	"Some college credit, but not a degree"	"4"	129	18057	7.14
	"Virginia"	"51"	"Associate degree (AA, AS)"	"5"	40	7079	5.65
	"Virginia"	"51"	"Bachelor's degree (BA, AB, BS)"	"6"	74	22427	3.30
	"Virginia"	"51"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	43	12733	3.38
	"Virginia"	"51"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	15	3469	4.32 (Unreliable)
	"Virginia"	"51"	"Unknown or Not Stated"	"Unk"	35	1005	34.83
"Total"	"Virginia"	"51"			592	100391	5.90
	"Washington"	"53"	"9th through 12th grade with no diploma"	"2"	45	7532	5.97
	"Washington"	"53"	"High school graduate or GED completed"	"3"	95	18739	5.07
	"Washington"	"53"	"Some college credit, but not a degree"	"4"	74	19479	3.80
	"Washington"	"53"	"Associate degree (AA, AS)"	"5"	35	8512	4.11
	"Washington"	"53"	"Bachelor's degree (BA, AB, BS)"	"6"	42	18820	2.23
	"Washington"	"53"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	18	8392	2.14 (Unreliable)
	"Washington"	"53"	"Unknown or Not Stated"	"Unk"	19	1319	14.40 (Unreliable)
"Total"	"Washington"	"53"			340	87562	3.88
	"West Virginia"	"54"	"9th through 12th grade with no diploma"	"2"	18	2216	8.12 (Unreliable)
	"West Virginia"	"54"	"High school graduate or GED completed"	"3"	51	5989	8.52
	"West Virginia"	"54"	"Some college credit, but not a degree"	"4"	33	4111	8.03
	"West Virginia"	"54"	"Bachelor's degree (BA, AB, BS)"	"6"	14	2592	5.40 (Unreliable)
"Total"	"West Virginia"	"54"			130	18675	6.96
	"Wisconsin"	"55"	"8th grade or less"	"1"	19	2282	8.33 (Unreliable)
	"Wisconsin"	"55"	"9th through 12th grade with no diploma"	"2"	53	4477	11.84
	"Wisconsin"	"55"	"High school graduate or GED completed"	"3"	144	15976	9.01
	"Wisconsin"	"55"	"Some college credit, but not a degree"	"4"	71	11901	5.97
	"Wisconsin"	"55"	"Associate degree (AA, AS)"	"5"	34	7227	4.70
	"Wisconsin"	"55"	"Bachelor's degree (BA, AB, BS)"	"6"	48	15763	3.05
	"Wisconsin"	"55"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	27	5338	5.06
	"Wisconsin"	"55"	"Unknown or Not Stated"	"Unk"	13	338	38.46 (Unreliable)
"Total"	"Wisconsin"	"55"			415	64975	6.39
"Total"	"Wyoming"	"56"			32	6903	4.64
"Total"					22341	3855500	5.79
"---"
"Dataset: Linked Birth / Infant Death Records, 2007-2017"
"Query Parameters:"
"Year of Death: 2017"
"Group By: State; Mother's Education"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd.html for more information."
"---"
"Query Date: Mar 24, 2020 1:30:51 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records"
"2007-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program, on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current.html on Mar 24, 2020 1:30:51 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Births values in those rows are included in the totals. Use Quick"
"Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 0-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Unreliable."
"3. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#WeightFactors-Totals."
"4. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Weight Factors."
"5. About excluded education data: <p> Education data are recoded to ""Excluded"" for those reporting areas that used the 1989"
"revision of the U.S. Standard Certificate of Birth, because their data for education are not comparable to the data from the"
"reporting areas using the 2003 revision of the U.S. Standard Certificate of Birth. Note that prior data years (data for deaths"
"ocurring in years 2003 - 2006) excluded education data from those reporting areas that had adopted the 2003 revision of the U.S."
"Standard Certificate of Birth. <ul><li> The following reporting areas have education data excluded: <ul><li> For births that"
"occurred in 2007:&nbsp; Alabama, Alaska, Arizona, Arkansas, Colorado, Connecticut, District of Columbia, Georgia, Hawaii,"
"Illinois, Indiana, Iowa, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nevada,"
"New Jersey, New Mexico, New York, North Carolina, Oklahoma, Oregon, Rhode Island, Utah, Virginia, West Virginia and Wisconsin"
"(33 reporting areas). </li><li> For births that occurred in 2008:&nbsp; Alabama, Alaska, Arizona, Arkansas, Connecticut,"
"District of Columbia, Georgia, Hawaii, Illinois, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi,"
"Missouri, Montana, Nevada, New Jersey, New Mexico, New York, North Carolina, Oklahoma, Oregon, Rhode Island, Utah, Virginia,"
"West Virginia and Wisconsin (30 reporting areas). </li><li> For births that occurred in 2009:&nbsp; Alabama, Alaska, Arizona,"
"Arkansas, Connecticut, District of Columbia, Hawaii, Illinois, Louisiana, Maine, Maryland, Massachusetts, Minnesota,"
"Mississippi, Missouri, Nevada, New Jersey, North Carolina, Oklahoma, Rhode Island, Utah, Virginia, West Virginia and Wisconsin"
"(24 reporting areas). </li><li> For births that occurred in 2010:&nbsp; Alabama, Alaska, Arizona, Arkansas, Connecticut,"
"District of Columbia, Hawaii, Illinois, Louisiana, Maine, Maryland, Massachusetts, Minnesota, Mississippi, Missouri, Nevada, New"
"Jersey, North Carolina, Oklahoma, Rhode Island, Virginia, West Virginia and Wisconsin (23 reporting areas). </li><li> For births"
"that occurred in 2011:&nbsp; Alabama, Alaska, Arizona, Arkansas, Connecticut, Hawaii, Louisiana, Maine, Massachusetts,"
"Minnesota, Mississippi, New Jersey, North Carolina, Rhode Island, Virginia, West Virginia and Wisconsin (17 reporting areas)."
"</li><li> For births that occurred in 2012:&nbsp; Alabama, Alaska, Arizona, Arkansas, Connecticut, Hawaii, Maine, Massachusetts,"
"Minnesota, Mississippi, New Jersey, Rhode Island, Virginia, and West Virginia (14 reporting areas). </li><li> For births that"
"occurred in 2013:&nbsp; Alabama, Alaska, Arizona, Arkansas, Connecticut, Hawaii, Maine, Mississippi, New Jersey, Rhode Island,"
"Virginia, and West Virginia (12 reporting areas). </li><li> For births that occurred in 2014:&nbsp; Alabama, Arizona, Arkansas,"
"Connecticut, Hawaii, Maine, New Jersey, Rhode Island, and West Virginia (9 reporting areas). </li><li> For births that occurred"
"in 2015:&nbsp; Connecticut, and New Jersey (2 reporting areas). </li><li> For births that occurred in 2016:&nbsp; Connecticut,"
"and New Jersey (2 reporting areas). </li></ul> </li></ul> </p>"
